,TIME,CA,CA_per,FA,FA_per,FDI,Portfolio,derivatives,Other,Reserve,FDI_assets,FDI_liabilities,Portfolio_assets,Portfolio_liabilities
0,1998,-6937.274,-0.4189824,932.8124,0.05633797628603973,57779.69,11515.18,5041.826,-73132.16,-271.7251,158579.8,100800.1,53268.06,41752.88
1,1999,-35685.92,-2.112436,-57631.05,-3.411482868812126,113387.0,-195896.4,-4344.049,30256.26,-1033.835,243266.8,129879.8,22144.13,218040.5
2,2000,-31112.48,-1.866424,-36202.02,-2.171743267540228,117504.4,-179973.1,-2350.997,22690.98,5926.691,280997.8,163493.4,101045.9,281019.0
3,2001,-29901.08,-1.812589,-25620.45,-1.553099280863768,21269.23,170055.9,-12123.19,-200379.0,-4443.394,77268.95,55999.72,184238.8,14182.85
4,2002,-36459.8,-2.039588,-59579.12,-3.332899747188959,34153.87,-111520.3,-1501.78,19977.73,-688.6285,122100.3,87946.41,-16879.65,94640.66
5,2003,-38622.93,-1.87731,-62416.0,-3.033798341037306,47628.63,-183571.6,8821.145,67252.04,-2546.225,83558.34,35929.71,40475.02,224046.6
6,2004,-57511.98,-2.371658,-29621.77,-1.2215317190376684,42017.63,-24243.83,14962.97,-62717.68,359.1407,129287.0,87269.34,233897.7,258141.5
7,2005,-52081.16,-2.046951,-57260.18,-2.250502537024521,-94349.6,-80863.04,-10859.78,127619.7,1192.504,159566.5,253916.1,251554.7,332417.8
8,2006,-85773.9,-3.164505,-116207.4,-4.287305326410482,-66284.85,118816.9,-38326.62,-129628.9,-783.9788,141662.8,207947.6,424296.3,305479.3
9,2007,-117012.9,-3.78298,-149153.1,-4.822059740746533,159054.1,-185105.3,55614.02,-181099.2,2383.201,368313.5,209259.4,229051.4,414156.6
10,2008,-115771.3,-3.961531,-125914.3,-4.308610189168646,105690.6,-798255.2,231500.5,337601.6,-2451.913,366661.8,260971.1,-487164.7,311090.6
11,2009,-76287.12,-3.152559,-70166.88,-2.899640582131296,-60801.73,-158357.7,-49810.23,189816.5,8986.237,-51107.57,9694.158,119434.5,277792.2
12,2010,-71797.23,-2.883065,-96725.32,-3.884068852040672,-10104.06,-92930.5,-78489.51,75423.7,9375.063,55243.37,65347.43,-14680.39,78250.11
13,2011,-48133.29,-1.804218,-47738.94,-1.7894362685143692,53415.36,-248468.5,12087.03,127295.3,7931.91,80085.36,26670.01,-180112.7,68355.81
14,2012,-89290.24,-3.289029,-81430.66,-2.999519345329792,-34854.71,277135.8,-59536.33,-276284.9,12109.46,12141.15,46995.86,167707.0,-109428.8
15,2013,-133041.9,-4.775469,-108904.2,-3.9090589586423525,-11190.38,-235482.6,61772.99,68241.18,7754.645,44722.46,55912.84,-85471.47,150011.2
16,2014,-157966.2,-5.150398,-146811.5,-4.786705358342481,-176080.6,20625.2,22991.16,-26058.51,11711.26,-116105.0,59975.57,109598.2,88973.01
17,2015,-148792.3,-5.069448,-160340.1,-5.462888867668556,-106015.9,-192474.8,-133191.0,239135.1,32206.46,-60047.72,45968.19,-26327.12,166147.7
18,2016,-148040.5,-5.486029,-166280.5,-6.16196003887112,-296175.4,-158354.2,15539.45,263922.4,8787.335,32744.33,328919.8,-182694.5,-24340.28
19,2017,-96890.88,-3.608715,-95746.09,-3.5660771289759157,46043.83,-88233.51,19323.57,-81635.21,8755.23,171947.1,125903.3,108157.2,196390.7
20,2018,-117145.4,-4.071039,-123055.4,-4.276423423886896,-4874.999,-351717.5,10322.19,198451.8,24763.13,-28767.16,-23892.16,-190347.7,161369.8
21,2019,-80808.17,-2.828961,-101812.3,-3.564281012926045,-42191.96,29794.2,2471.896,-90773.6,-1112.8,-20719.52,21472.45,98676.77,68882.58
22,2020,-86582.6,-3.200142,-107406.8,-3.969816242127171,-136426.3,32404.03,33111.98,-33185.08,-3311.454,-3666.711,132759.6,112291.9,79887.87
23,2021,-46912.55,-1.502216,-24496.21,-0.7844084067346583,156112.4,-264272.4,-37445.86,96760.57,24349.02,161347.9,5235.432,-72165.32,192107.0
24,2022,-115733.0,-3.768608,-79772.41,-2.597625072410462,115509.9,-108232.0,-58077.93,-27647.24,-1325.164,157592.2,42082.28,-139640.2,-31408.24
